Town,County,Town_County,Fed_Money,Total_Rev,State_Money,Fed_Decimal,Fed_Percent,State_Decimal,State_Percent,FS_Combo,FS_Combo_Decimal,FS_Combo_Percent,Population,F_Mon_PC,S_Mon_PC,All_Tax_Rev,Taxes_PC,Real_Estat,Real_Taxes_PC
abbott twp,potter,abbott twp potter,0.0,318335.62,196725.62,0.0,0.0,0.6179818017223457,61.8,196725.62,0.6179818017223457,61.8,242,0.0,812.9157851239667,55978.0,231.31404958677686,32275.625,133.37035123966942
abbottstown boro,adams,abbottstown boro adams,42853.75,414809.75,33653.0,0.10330940871086082,10.33,0.08112875842479594,8.110000000000001,76506.75,0.1844381671356568,18.44,1011,42.387487636003954,33.28684470820969,220676.25,218.27522255192878,95613.75,94.57344213649851
abington twp,montgomery,abington twp montgomery,2025048.0,68273322.88,3924311.75,0.02966089703234905,2.97,0.05747943097624723,5.75,5949359.75,0.08714032800859628,8.709999999999999,55310,36.61269209907793,70.95121587416381,29430362.375,532.0983976676912,13345034.25,241.27706111010667
adams twp,butler,adams twp butler,2298.0,8155985.0,678198.38,0.0002817562808170932,0.03,0.08315346092470742,8.32,680496.38,0.08343521720552452,8.34,11652,0.1972193614830072,58.20446103673189,4859073.875,417.0162954857535,619699.375,53.183949107449365
adams twp,cambria,adams twp cambria,96652.25,1947815.38,333407.62,0.04962084753638202,4.96,0.17117003152526705,17.119999999999994,430059.87,0.22079087906164907,22.08,5972,16.18423476222371,55.82846952444742,1057898.5,177.1430843938379,377955.25,63.28788513060951
adams twp,snyder,adams twp snyder,8439.0,204103.88,88193.38,0.04134659272523383,4.130000000000001,0.4321004578648873,43.21,96632.38,0.4734470505901211,47.34,907,9.304299889746416,97.23636163175304,95108.5,104.86052921719956,16260.375,17.927646085997797
adamsburg boro,westmoreland,adamsburg boro westmoreland,0.0,41414.5,7108.25,0.0,0.0,0.17163674558427605,17.16,7108.25,0.17163674558427605,17.16,172,0.0,41.327034883720934,27464.0,159.67441860465115,7248.5,42.14244186046512
adamstown boro,lancaster,adamstown boro lancaster,0.0,2245368.88,68215.88,0.0,0.0,0.030380700742588005,3.04,68215.88,0.030380700742588005,3.04,1789,0.0,38.130732252655115,558977.875,312.4526970374511,282157.375,157.71792901062045
addison twp,somerset,addison twp somerset,0.0,477850.62,215677.62,0.0,0.0,0.451349461469779,45.13,215677.62,0.451349461469779,45.13,974,0.0,221.43492813141685,160671.5,164.96047227926078,88874.0,91.24640657084188
akron boro,lancaster,akron boro lancaster,12635.88,3195438.0,247147.0,0.003954349920104849,0.4,0.07734370061318667,7.729999999999999,259782.88,0.08129805053329152,8.129999999999999,3876,3.2600309597523216,63.76341589267286,940432.125,242.6295472136223,475371.5,122.64486584107327
