Town_County,Town,Town_Type,County,Year,Total_Rev,Total_Expenses,All_Tax_Rev,Real_Estat,Fed_Money,State_Money,MtoM,Population,Per_C_Tax,Per_C_Rev,Per_C_Ex
kutztown boro berks,kutztown boro,Borough,berks,2010,16618307.0,18075898.0,1064972.0,534877.0,1171.0,423464.0,0.0,5012,212.48,3315.7,3606.52
kutztown boro berks,kutztown boro,Borough,berks,2011,18385724.0,19483717.0,1078487.0,535540.0,0.0,595473.0,50000.0,5012,215.18,3668.34,3887.41
kutztown boro berks,kutztown boro,Borough,berks,2012,18079372.0,18240591.0,1153270.0,592103.0,0.0,370190.0,0.0,5012,230.1,3607.22,3639.38
kutztown boro berks,kutztown boro,Borough,berks,2013,17485994.0,17633384.0,1144721.0,586106.0,0.0,471993.0,0.0,5012,228.4,3488.83,3518.23
kutztown boro berks,kutztown boro,Borough,berks,2014,19360670.0,19745748.0,1230472.0,640276.0,0.0,482134.0,0.0,5012,245.51,3862.86,3939.69
kutztown boro berks,kutztown boro,Borough,berks,2015,19534756.0,19428136.0,1387211.0,788556.0,0.0,684956.0,0.0,5012,276.78,3897.6,3876.32
kutztown boro berks,kutztown boro,Borough,berks,2016,20268281.0,20828698.0,1443219.0,797930.0,0.0,721892.0,0.0,5012,287.95,4043.95,4155.77
kutztown boro berks,kutztown boro,Borough,berks,2017,20039351.0,18844097.0,1449919.0,775705.0,0.0,486992.0,0.0,5012,289.29,3998.27,3759.8
laureldale boro berks,laureldale boro,Borough,berks,2010,3178900.0,3355760.0,1054650.0,670725.0,0.0,159218.0,34360.0,3911,269.66,812.81,858.03
laureldale boro berks,laureldale boro,Borough,berks,2011,3316277.0,2972411.0,1087693.0,669450.0,16400.0,223607.0,0.0,3911,278.11,847.94,760.01
laureldale boro berks,laureldale boro,Borough,berks,2012,3167752.0,3336068.0,1027559.0,661802.0,0.0,151669.0,0.0,3911,262.74,809.96,853.0
laureldale boro berks,laureldale boro,Borough,berks,2013,3280928.0,2833200.0,1065161.0,671035.0,0.0,157983.0,0.0,3911,272.35,838.9,724.42
laureldale boro berks,laureldale boro,Borough,berks,2014,3434000.0,3304852.0,1249381.0,812236.0,0.0,184349.0,0.0,3911,319.45,878.04,845.01
laureldale boro berks,laureldale boro,Borough,berks,2015,3418794.0,2833154.0,1224975.0,805829.0,0.0,186627.0,0.0,3911,313.21,874.15,724.41
laureldale boro berks,laureldale boro,Borough,berks,2016,3574234.0,3216157.0,1283901.0,813373.0,0.0,209305.0,0.0,3911,328.28,913.89,822.34
